Program Name,State Name,Started,In-Progress,Submitted,Submitted projects with evidence,Total Triggered
VAM_Andaman and Nicobar Islands,Andaman & Nicobar Islands,103,1,15,14,119
School Improvement Plan and Live Action Project (SIP and LAP),Andhra Pradesh,2830,319,1238,956,4387
VAM_Andhra Pradesh,Andhra Pradesh,21466,3292,80689,69967,105447
Vidyaa Pravesham,Andhra Pradesh,7718,1497,30728,23747,39943
BH_DIET NAWADA_बुनियादी भाषा और साक्षरता,Bihar,243,24,195,109,462
BH_DIET_Araria Year-2,Bihar,46,0,17,9,63
"BH_DIET_BANKA _किसने सीखा,कितना सीखा",Bihar,462,8,106,44,576
BH_DIET_Bhojpur_MIP_2025-26,Bihar,6,0,8,5,14
BH_DIET_Buxar Year-2,Bihar,52,1,20,9,73
BH_DIET_Gaya_MIP_2025-26,Bihar,494,28,652,380,1174
BH_DIET_Gaya_MIP_कक्षा में पुस्तकालय,Bihar,9,0,0,0,9
BH_DIET_KAIMUR_आओ सुने-समझें और बोलें,Bihar,559,28,888,582,1475
BH_DIET_KATIHAR_MIP_लेखन कौशल विकास,Bihar,678,33,635,305,1346
BH_DIET_Kishanganj_MIP_2025-26,Bihar,39,1,7,3,47
BH_DIET_Kumarbagh_MIP_2025-26,Bihar,88,4,0,0,92
BH_DIET_Lakhisarai_MIP_2025-26,Bihar,435,53,1282,1232,1770
BH_DIET_Madhepura_गणित की बुनियाद: जोड़ और घटाव,Bihar,369,15,644,147,1028
BH_DIET_Madhubani_MIP_2025-26,Bihar,62,4,104,76,170
BH_DIET_Munger_DEP_MIP_2024-25,Bihar,132,5,26,12,163
BH_DIET_Munger_MIP_2025-26,Bihar,4,0,0,0,4
BH_DIET_Nawada_MIP_2025-26,Bihar,90,15,169,140,274
BH_DIET_Samastipur_MIP_2025-26,Bihar,470,38,768,552,1276
BH_DIET_Sasaram_MIP_2025-26,Bihar,44,1,31,21,76
BH_DIET_Sheohar_MIP_2025-26,Bihar,2,0,4,2,6
BH_DIET_Sitamarhi_MIP_2025-26,Bihar,36,5,19,16,60
BH_DIET_Siwan_MIP_2025-26,Bihar,224,52,688,550,964
BH_Parents Teacher Meeting based MIP,Bihar,425,7,208,129,640
Bihar Project Based Learning Program,Bihar,10139,955,7867,6752,18961
Bihar Project Based Learning Program Year 2,Bihar,69111,4568,123195,93725,196874
Bihar Project Based Learning Program Year 3,Bihar,45845,4026,172983,154757,222854
BR_DIET_Araria_MIP_2025-26,Bihar,9,0,0,0,9
BR_DIET_Banka_MIP_2025-26,Bihar,130,10,133,95,273
BR_DIET_BEGUSARAI_ध्वनि जागरूकता का विकास,Bihar,1960,113,2695,1912,4768
BR_DIET_DARBHANGA_MIP_अंको की पहचान,Bihar,428,17,490,401,935
BR_DIET_DUMRAON_BUXAR_MIP_प्रारम्भिक शालाओं का साहित्य,Bihar,67,4,15,9,86
BR_DIET_GOPALGANJ_MIP_ घटाव की दुनिया,Bihar,1,0,0,0,1
BR_DIET_Gopalganj_MIP_2025-26,Bihar,134,6,144,100,284
BR_DIET_Kaimur_MIP_2025-26,Bihar,366,42,1300,1136,1708
BR_DIET_Katihar_MIP_2025-26,Bihar,448,30,1369,1015,1847
BR_DIET_Khagaria_MIP_2025-26,Bihar,42,0,6,2,48
BR_DIET_Kishanganj_DEP_MIP_2024-25,Bihar,53,1,16,10,70
BR_DIET_KUMARBAGH_ DEP_2024-25,Bihar,20,1,8,3,29
BR_DIET_MADHUBANI_DEP_आओ सीखें खेल-खेल में गुणा भाग,Bihar,191,5,68,31,264
BR_DIET_Madhubani_DEP_आओ सीखें खेल-खेल में जोड़ -घटाव,Bihar,273,5,107,36,385
BR_DIET_Madhubani_MIP_चलो समझ के साथ पढ़ना सीखें,Bihar,4,0,1,1,5
BR_DIET_Motihari_MIP_2025-26,Bihar,974,198,1636,1534,2808
BR_DIET_Motihari_MIP_घटाव की समझ,Bihar,7,0,3,2,10
BR_DIET_NALANDA _MIP_ध्वनि जागरूकता एवं डिकोडिंग के समझ का विकास,Bihar,1352,27,241,155,1620
BR_DIET_Patna_MIP_2025-26,Bihar,180,14,260,226,454
BR_DIET_Purnia_MIP_2025-26,Bihar,46,4,14,12,64
BR_DIET_Sheikhpura_मौखिक भाषा का विकास,Bihar,56,0,15,6,71
BR_DIET_Sheohar_DEP_MIP_2024-25,Bihar,58,2,19,3,79
BR_DIETKUMARBAG_DEP_Year_1,Bihar,174,6,101,34,281
DEP DIET BHAGALPUR_साइबर हाईजीन प्रैक्टिसेज,Bihar,557,6,81,37,644
DEP DIET Tarar aurangabad,Bihar,371,4,113,56,488
DEP-डिजिटल प्लेटफॉर्म्स टूल्स - ऑनलाइन शिक्षा के लिए,Bihar,24,0,5,0,29
DEP_ARARIA _डिजिटल प्लेटफॉर्म्स टूल्स - ऑनलाइन शिक्षा के लिए,Bihar,8,0,0,0,8
DEP_BANKA_बच्चों की कक्षा में सक्रिय भागीदारी,Bihar,70,5,9,8,84
DEP_Begusarai_बच्चों की कक्षा में सक्रिय भागीदारी,Bihar,2075,179,4550,3704,6804
DEP_BUXAR_पाठ्यचर्या और समावेशी कक्षा,Bihar,148,9,24,14,181
DEP_DIET SHAHPUR BEGUSARAI,Bihar,646,23,336,222,1005
DEP_Gopalganj_कक्षाओं में प्रिंट भरा वातावरण कैसे बनाएं ?,Bihar,23,0,4,3,27
"DEP_KUMARBAGH_मापन -लम्बाई, भार व धारिता",Bihar,8,0,0,0,8
DEP_Motihari_कक्षाओं में प्रिंट भरा वातावरण कैसे बनाएं,Bihar,401,12,100,58,513
DIET Begusarai_MIP_2025-26,Bihar,978,76,8098,7408,9152
DIET Bhagalpur_MIP_आओ पढ़ना सीखें,Bihar,1483,84,1048,882,2615
DIET BHAGALPUR_MIP_लेखन के प्रारंभिक स्तर,Bihar,1141,51,572,445,1764
DIET BHAGALPUR_MIP_लेखन के प्रारंभिक स्तर-2,Bihar,13,0,7,4,20
DIET Bhagalpur_MIP_समझ के साथ पढ़ना,Bihar,306,6,203,172,515
DIET Bhojpur_DEP_2024-25,Bihar,78,5,42,21,125
DIET DARBHANGA _MIP_प्राथमिक कक्षाओं में चित्र-पठन कौशल,Bihar,1321,123,2473,1044,3917
DIET Darbhanga_DEP_2024-25,Bihar,384,6,199,120,589
DIET Darbhanga_MIP_2025-26,Bihar,32,0,16,16,48
DIET GAYA_MIP_2024-25,Bihar,948,37,386,235,1371
DIET GAYA_MIP_2025-26,Bihar,358,19,179,109,556
DIET Gopalganj_DEP,Bihar,677,47,374,219,1098
DIET Gopalganj_DEP_2024-25,Bihar,115,5,63,44,183
DIET KAIMUR_DEP,Bihar,1527,103,1732,1276,3362
DIET Katihar_DEP,Bihar,427,21,207,76,655
DIET Khagaria_DEP,Bihar,105,2,30,13,137
DIET Khagaria_DEP_2024-25,Bihar,69,2,14,5,85
DIET Kishanganj_DEP,Bihar,102,2,25,15,129
DIET Lakhisarai_DEP_Year 1,Bihar,256,8,42,24,306
DIET Motihari_DEP,Bihar,267,8,120,69,395
DIET Motihari_DEP_2024-25,Bihar,225,7,90,62,322
