Program Name,State Name,District Name,Started,In-Progress,Submitted
21st Century Skills,Haryana,Palwal,15,2,58
21st Century Skills,Haryana,Panchkula,190,8,363
21st Century Skills,Haryana,Sonepat,137,1,184
21st Century Skills,Haryana,Yamunanagar,94,6,88
21st Century Skills,Haryana,Faridabad,153,4,196
21st Century Skills,Haryana,Charkhi Dadri,9,0,12
21st Century Skills,Haryana,Jind,348,13,769
21st Century Skills,Haryana,Gurugram,276,9,674
21st Century Skills,Haryana,Karnal,229,3,1133
21st Century Skills,Haryana,Mahendergarh,442,27,1233
21st Century Skills,Haryana,Bhiwani,410,23,879
21st Century Skills,Haryana,Ambala,366,29,559
21st Century Skills,Haryana,Rewari,366,19,663
21st Century Skills,Haryana,Rohtak,270,17,576
21st Century Skills,Haryana,Sirsa,807,29,2066
21st Century Skills,Haryana,Jhajjar,182,6,383
21st Century Skills,Haryana,Kurukshetra,136,4,307
21st Century Skills,Haryana,Fatehabad,952,18,2179
21st Century Skills,Haryana,Kaithal,340,20,1018
21st Century Skills,Haryana,Hisar,164,12,325
21st Century Skills,Haryana,Panipat,170,2,463
21st Century Skills,Haryana,Nuh,691,24,4238
Aao School Chalein,Haryana,Charkhi Dadri,38,5,49
Aao School Chalein,Haryana,Ambala,21,3,42
Aao School Chalein,Haryana,Kurukshetra,14,0,40
Aao School Chalein,Haryana,Bhiwani,30,8,51
Aao School Chalein,Haryana,Rewari,17,2,45
Aao School Chalein,Haryana,Jhajjar,16,4,44
Aao School Chalein,Haryana,Panchkula,28,5,58
Aao School Chalein,Haryana,Panipat,12,7,36
Aao School Chalein,Haryana,Mahendergarh,13,5,54
Aao School Chalein,Haryana,Hisar,23,1,85
Aao School Chalein,Haryana,Palwal,19,1,25
Aao School Chalein,Haryana,Yamunanagar,15,2,48
Aao School Chalein,Haryana,Nuh,5,0,32
Aao School Chalein,Haryana,Sirsa,11,5,61
Aao School Chalein,Haryana,Kaithal,29,3,67
Aao School Chalein,Haryana,Sonepat,6,0,6
Aao School Chalein,Haryana,Karnal,17,8,37
Aao School Chalein,Haryana,Rohtak,16,1,41
Aao School Chalein,Haryana,Faridabad,8,0,12
Aao School Chalein,Haryana,Jind,30,1,76
Aao School Chalein,Haryana,Gurugram,23,4,32
Aao School Chalein,Haryana,Fatehabad,30,5,46
Aao School Chalein 2024-25,Haryana,Kaithal,25,3,304
Aao School Chalein 2024-25,Haryana,Kurukshetra,70,5,194
Aao School Chalein 2024-25,Haryana,Hisar,118,19,427
Aao School Chalein 2024-25,Haryana,Jind,36,5,157
Aao School Chalein 2024-25,Haryana,Fatehabad,60,5,174
Aao School Chalein 2024-25,Haryana,Rohtak,55,5,175
Aao School Chalein 2024-25,Haryana,Sirsa,54,6,329
Aao School Chalein 2024-25,Haryana,Panchkula,31,3,151
Aao School Chalein 2024-25,Haryana,Charkhi Dadri,51,6,80
Aao School Chalein 2024-25,Haryana,Karnal,26,6,125
Aao School Chalein 2024-25,Haryana,Yamunanagar,24,1,114
Aao School Chalein 2024-25,Haryana,Jhajjar,40,7,121
Aao School Chalein 2024-25,Haryana,Gurugram,45,7,104
Aao School Chalein 2024-25,Haryana,Nuh,51,9,220
Aao School Chalein 2024-25,Haryana,Mahendergarh,66,13,223
Aao School Chalein 2024-25,Haryana,Faridabad,35,3,22
Aao School Chalein 2024-25,Haryana,Palwal,47,5,75
Aao School Chalein 2024-25,Haryana,Panipat,58,2,264
Aao School Chalein 2024-25,Haryana,Ambala,61,6,150
Aao School Chalein 2024-25,Haryana,Sonepat,58,6,266
Aao School Chalein 2024-25,Haryana,Rewari,8,0,126
Aao School Chalein 2024-25,Haryana,Bhiwani,73,11,179
DIET MUZAFFARPUR _DEP_2025-26,Bihar,Muzaffarpur,3142,284,21848
DIET Begusarai_MIP_2025-26,Bihar,Begusarai,978,76,8098
DIET_SONPUR _SARAN _MIP_2025-26,Bihar,Saran,780,98,7608
DEP_Begusarai_बच्चों की कक्षा में सक्रिय भागीदारी,Bihar,Begusarai,2075,179,4550
BR_DIET_BEGUSARAI_ध्वनि जागरूकता का विकास,Bihar,Begusarai,1960,113,2695
DIET DARBHANGA _MIP_प्राथमिक कक्षाओं में चित्र-पठन कौशल,Bihar,Darbhanga,1321,123,2473
DIETBGP_MIP_2025-26,Bihar,Bhagalpur,574,107,3107
DIET KAIMUR_DEP,Bihar,Kaimur (Bhabua),1527,103,1732
BR_DIET_Motihari_MIP_2025-26,Bihar,E. Champaran,974,198,1636
DIET PATNA_DEP_Year1,Bihar,Patna,860,29,1763
DIET_Saran_DEP_2024-25,Bihar,Saran,978,56,1605
DIET Bhagalpur_MIP_आओ पढ़ना सीखें,Bihar,Bhagalpur,1483,84,1048
BR_DIET_Katihar_MIP_2025-26,Bihar,Katihar,448,30,1369
BH_DIET_Lakhisarai_MIP_2025-26,Bihar,Lakhisarai,435,53,1282
DIET BHAGALPUR_MIP_लेखन के प्रारंभिक स्तर,Bihar,Bhagalpur,1141,51,572
BR_DIET_Kaimur_MIP_2025-26,Bihar,Kaimur (Bhabua),366,42,1300
DIET_DARBHANGA_डिजिटल प्लेटफार्म टूल्स-ऑनलाइन शिक्षा के लिए,Bihar,Darbhanga,1262,31,372
BR_DIET_NALANDA _MIP_ध्वनि जागरूकता एवं डिकोडिंग के समझ का विकास,Bihar,Nalanda,1352,27,241
DIET MUZAFFARPUR _DEP_2024-25,Bihar,Muzaffarpur,1058,47,506
BH_DIET_KAIMUR_आओ सुने-समझें और बोलें,Bihar,Kaimur (Bhabua),559,28,888
BH_Parents Teacher Meeting based MIP,Bihar,Sheikhpura,4,0,1
BH_Parents Teacher Meeting based MIP,Bihar,Araria,14,1,7
BH_Parents Teacher Meeting based MIP,Bihar,Gopalganj,10,0,5
BH_Parents Teacher Meeting based MIP,Bihar,Supaul,11,0,10
BH_Parents Teacher Meeting based MIP,Bihar,Aurangabad (Bihar),3,0,4
BH_Parents Teacher Meeting based MIP,Bihar,Saran,19,0,18
BH_Parents Teacher Meeting based MIP,Bihar,Gaya,24,0,7
BH_Parents Teacher Meeting based MIP,Bihar,E. Champaran,26,1,8
BH_Parents Teacher Meeting based MIP,Bihar,Siwan,8,0,9
BH_Parents Teacher Meeting based MIP,Bihar,Sitamarhi,2,0,2
BH_Parents Teacher Meeting based MIP,Bihar,Nalanda,13,0,8
BH_Parents Teacher Meeting based MIP,Bihar,Kaimur (Bhabua),14,0,2
BH_Parents Teacher Meeting based MIP,Bihar,Saharsa,1,0,0
BH_Parents Teacher Meeting based MIP,Bihar,Katihar,1,0,4
BH_Parents Teacher Meeting based MIP,Bihar,Arwal,3,0,2
BH_Parents Teacher Meeting based MIP,Bihar,Kishanganj,0,0,1
BH_Parents Teacher Meeting based MIP,Bihar,Begusarai,19,0,6
BH_Parents Teacher Meeting based MIP,Bihar,Rohtas,4,0,4
BH_Parents Teacher Meeting based MIP,Bihar,Lakhisarai,12,0,5
BH_Parents Teacher Meeting based MIP,Bihar,Jehanabad,6,0,3
BH_Parents Teacher Meeting based MIP,Bihar,Muzaffarpur,19,0,8
BH_Parents Teacher Meeting based MIP,Bihar,Madhepura,21,0,11
BH_Parents Teacher Meeting based MIP,Bihar,Jamui,6,0,4
BH_Parents Teacher Meeting based MIP,Bihar,Purnia,19,0,9
BH_Parents Teacher Meeting based MIP,Bihar,Bhojpur,19,0,18
BH_Parents Teacher Meeting based MIP,Bihar,Samastipur,12,1,9
BH_Parents Teacher Meeting based MIP,Bihar,Madhubani,4,0,1
BH_Parents Teacher Meeting based MIP,Bihar,Vaishali,19,3,11
BH_Parents Teacher Meeting based MIP,Bihar,Nawada,3,0,3
BH_Parents Teacher Meeting based MIP,Bihar,Darbhanga,28,0,4
BH_Parents Teacher Meeting based MIP,Bihar,W Champaran,2,0,2
BH_Parents Teacher Meeting based MIP,Bihar,Buxar,17,0,4
BH_Parents Teacher Meeting based MIP,Bihar,Patna,45,1,10
