UUID,User Type,User sub type,Declared State,District,Block,School Name,School ID,Declared Board,Org Name,Program Name,Program ID,Project ID,Project Title,Project Objective,Project start date of the user,Project completion date of the user,Project Duration,Project last Synced date,Project Status,Certificate Status
000bf483-f7fa-42db-8cd9-87d2a87eec6c,teacher,TEACHER,Nagaland,Tuensang,Longkhim,Government Primary School Chungtor,13020301801,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,68230b8f3e09080008dcb200, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-13T09:06:23.770+05:30,2025-05-31T14:45:52.973+05:30,1 Month,2025-05-31T14:45:52.967+05:30,submitted,Null
004ab2f3-d33f-4e7d-b791-7b64552cca82,teacher,TEACHER,Nagaland,Mon,Mon,Government Primary School Guching,13010701501,Null,DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682d92cb3e09080008efe58f, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-21T08:46:03.898+05:30,2025-05-30T09:00:54.343+05:30,1 Month,2025-05-30T09:00:54.336+05:30,submitted,Null
00580a5b-3f9a-47a5-826c-08481af18d2d,"teacher,administrator",TEACHER-CLASS1-5,Nagaland,Kohima,L. Khel Kohima,Government Primary School Tsiepfu Tsiephfe A.G Colony,13070701507,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,68395df93e090800080b9280, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-30T07:27:53.207+05:30,2025-05-30T10:42:01.389+05:30,1 Month,2025-05-30T07:37:55.945+05:30,submitted,Issued
00936491-ebad-413f-ad13-1e12a609111f,"teacher,administrator",TEACHER-CLASS1-5,Nagaland,Dimapur,Kushiabill,Government Primary School Diphupar Angami,13060202401,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,681d96ac3e09080008d7dca1, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-09T05:46:19.991+05:30,2025-05-29T16:05:52.731+05:30,1 Month,2025-05-29T16:05:52.725+05:30,submitted,Null
0121fba1-95b9-4fb4-ae35-1f92eeec7863,teacher,TEACHER,Nagaland,Mokokchung,Mokokchung Village,Government Middle School Imrong,13030100408,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682dd9853e09080008f0c3b2, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-21T13:47:49.406+05:30,Null,1 Month,Null,started,Null
0123d315-209c-43a0-9b1b-19e8eaf1910b,teacher,TEACHER,Nagaland,Mokokchung,Changtongya-B,Government Middle School Asangma,13030400403,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,681989453e09080008d358b2, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-06T04:00:05.777+05:30,Null,1 Month,Null,started,Null
012839ef-5899-4827-810d-4c790281f881,"teacher,administrator",TEACHER-PRECLASS2,Nagaland,Dimapur,Medziphema,Government Primary School Zhuikhu,13060305002,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,68394b6b3e090800080b2ae1, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-30T06:08:43.356+05:30,2025-05-30T10:22:30.175+05:30,1 Month,2025-05-30T07:08:18.089+05:30,submitted,Issued
0141c4af-8f0a-42bb-9084-d2c1a2e922b5,teacher,TEACHER,Nagaland,Tuensang,Hakushang,Government Primary School Keshai,13020102101,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682ff9123e09080008f4cc97, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-23T04:26:58.148+05:30,2025-05-23T04:50:16.288+05:30,1 Month,2025-05-23T04:50:16.281+05:30,submitted,Null
0150ce88-63f0-45ab-a38e-57a6b01b5bf9,"teacher,administrator",TEACHER-PRECLASS2,Nagaland,Dimapur,Medziphema,Government Middle School Khriezephe,13060301202,NCERT,DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,6826c6d93e09080008e2fa97, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-16T05:02:17.114+05:30,2025-05-29T07:39:20.751+05:30,1 Month,2025-05-29T07:39:20.744+05:30,submitted,Null
0169cf9e-d909-4bb8-a57d-cc08420948d7,teacher,TEACHER,Nagaland,Mon,Tobu,Government Primary School Monyakshu - B,13010100902,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,68342d743e09080008fcb77d, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-26T08:59:32.628+05:30,Null,1 Month,Null,started,Null
01a57930-e617-49e4-ac9e-4a3ad39b95b8,"teacher,administrator",TEACHER-CLASS1-5,Nagaland,Dimapur,Nuiland,Government Primary School Phuhoto,13060401001,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,683b30963e090800080fa53d, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-31T16:38:46.006+05:30,Null,1 Month,Null,started,Null
01b0c520-c736-461f-958b-2943d1016e01,teacher,TEACHER,Nagaland,Dimapur,Medziphema,Government Middle School Seithekie-C,13060300502,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682d6c313e09080008ef2134, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-21T06:01:21.074+05:30,2025-05-21T06:14:45.383+05:30,1 Month,2025-05-21T06:14:45.373+05:30,submitted,Null
01bb0a6f-2ab5-427e-84b9-d3a74545410f,"teacher,administrator",TEACHER-PRECLASS2,Nagaland,Kohima,Tseminyu,Government High School Tseminyu New Town,13070401702,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,681da15c3e09080008d7fac5, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-09T06:31:56.248+05:30,2025-05-09T06:40:14.319+05:30,1 Month,2025-05-09T06:39:50.241+05:30,submitted,Issued
01ce3302-b7b5-4bec-af7d-f36717ed2565,teacher,TEACHER,Nagaland,Dimapur,Dhansiripar,Government Middle School Singrijan-C,13060100102,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,6827299b3e09080008e3e710, Foundations for Growth - Enhancing Motor Skills Healthy Habits'," Promote holistic physical development among pre-primary students by enhancing motor skills (walking, balancing, running, jumping, crawling, and rolling) and instilling good health, hygiene, and sanitation habits for overall well-being.'",2025-05-16T12:03:39.798+05:30,2025-05-31T09:24:24.731+05:30,1 Month,2025-05-31T09:24:24.725+05:30,submitted,Null
