UUID,User Type,User sub type,Declared State,District,Block,School Name,School ID,Declared Board,Org Name,Program Name,Program ID,Project ID,Project Title,Project Objective,Project start date of the user,Project completion date of the user,Project Duration,Project last Synced date,Project Status,Certificate Status
002d6fc9-fe08-44c2-a64b-d81dbe1da8ad,teacher,TEACHER,Nagaland,Dimapur,Kushiabill,Government Primary School Henivi,13060207901,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,683d2d793e0908000810ba8e, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-06-02T04:50:01.256+05:30,Null,1 Month,Null,started,Null
004bd535-dcec-46da-b913-294893db759f,teacher,TEACHER,Nagaland,Tuensang,Hakushang,Government Primary School Chingmelen 'B',13020100702,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,681bf4b63e09080008d56212, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-08T00:03:02.233+05:30,Null,1 Month,Null,started,Null
00580a5b-3f9a-47a5-826c-08481af18d2d,teacher,TEACHER,Nagaland,Kohima,L. Khel Kohima,Government Primary School Tsiepfu Tsiephfe A.G Colony,13070701507,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682dd8863e09080008f0c0e0, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-21T13:43:34.095+05:30,2025-05-29T13:54:39.824+05:30,1 Month,2025-05-29T13:54:39.294+05:30,submitted,Null
009bf97a-5a7f-4505-9ac3-c71803458838,teacher,TEACHER,Nagaland,Mon,Mon,Government Primary School Shangnyu Hq.,13010701104,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682c0e8f3e09080008eb42d8, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-20T05:09:35.381+05:30,2025-05-23T09:18:10.822+05:30,1 Month,2025-05-23T09:18:10.815+05:30,submitted,Null
0121fba1-95b9-4fb4-ae35-1f92eeec7863,teacher,TEACHER,Nagaland,Mokokchung,Mokokchung Village,Government Middle School Imrong,13030100408,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,683468fc3e09080008fd364b, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-26T13:13:32.027+05:30,Null,1 Month,Null,started,Null
0123d315-209c-43a0-9b1b-19e8eaf1910b,teacher,TEACHER,Nagaland,Mokokchung,Changtongya-B,Government Middle School Asangma,13030400403,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,6819855c3e09080008d35070, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-06T03:43:24.460+05:30,Null,1 Month,Null,started,Null
012839ef-5899-4827-810d-4c790281f881,"teacher,administrator",TEACHER-PRECLASS2,Nagaland,Dimapur,Medziphema,Government Primary School Zhuikhu,13060305002,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,683178133e09080008f8470e, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-24T07:41:07.213+05:30,Null,1 Month,Null,started,Null
014d475d-b189-4b85-b0ba-4fb94f077b13,teacher,TEACHER,Nagaland,Zunheboto,Zunheboto,Government Middle School Kawoto,13040102701,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,6817f61e3e09080008d1f907, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-04T23:19:58.672+05:30,Null,1 Month,Null,started,Null
0169cf9e-d909-4bb8-a57d-cc08420948d7,teacher,TEACHER,Nagaland,Mon,Tobu,Government Primary School Monyakshu - B,13010100902,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,68345a773e09080008fd1369, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-26T12:11:35.015+05:30,Null,1 Month,Null,started,Null
017265fc-b3c8-45cd-82cf-bbff0da48dec,teacher,TEACHER,Nagaland,Kohima,L. Khel Kohima,Government Primary School Cwsn Lower Lerie,13070701611,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682c72d23e09080008ec7da8, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-20T12:17:22.712+05:30,Null,1 Month,Null,started,Null
01a57930-e617-49e4-ac9e-4a3ad39b95b8,"teacher,administrator",TEACHER-CLASS1-5,Nagaland,Dimapur,Nuiland,Government Primary School Phuhoto,13060401001,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,683a7eb63e090800080de0ef, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-31T03:59:50.296+05:30,2025-05-31T16:19:08.444+05:30,1 Month,2025-05-31T16:18:44.365+05:30,submitted,Issued
01d0e883-0487-46ce-bb77-d7b62f49b6b2,teacher,TEACHER,Nagaland,Zunheboto,Aghunato,Government Middle School Khukishe,13040401201,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682ac16a3e09080008e8787b, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-19T05:28:10.503+05:30,Null,1 Month,Null,started,Null
01dee7bd-6b14-41d8-a2c5-850875df8f8b,"teacher,administrator",TEACHER-PRECLASS2,Nagaland,Kiphire,Seyochung,Government Primary School Langzanger,13101002401,CBSE,DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,683167eb3e09080008f80f9e, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-24T06:32:11.549+05:30,2025-05-24T06:46:55.166+05:30,1 Month,2025-05-24T06:46:53.597+05:30,submitted,Null
01ff0356-03b0-4a08-b8f7-3e3740c8a314,teacher,TEACHER,Nagaland,Mokokchung,Mangkolemba-II,Government High School Alongtaki,13030503402,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,68217e543e09080008dac8fd, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-12T04:51:32.560+05:30,Null,1 Month,Null,started,Null
022e7968-2b54-4050-ae09-462d8718a43a,teacher,TEACHER,Nagaland,Zunheboto,Zunheboto,Government Middle School Sukhalu,13040102201,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,681824fb3e09080008d20f5c, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-05T02:39:55.575+05:30,2025-05-23T14:00:31.215+05:30,1 Month,2025-05-23T14:00:31.208+05:30,submitted,Null
023a3a42-4f8a-4210-910c-d98edaf76487,teacher,TEACHER,Nagaland,Dimapur,Dhansiripar,Government Middle School Bade,13060102204,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682c0d8c3e09080008eb3bc2, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-20T05:05:16.232+05:30,Null,1 Month,Null,started,Null
028a42bd-bc46-4f6d-b6af-beb2d1d5b46f,teacher,TEACHER,Nagaland,Mon,Tizit,Government Middle School Nokzang,13010201304,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,6839dcf13e090800080cf421, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-30T16:29:37.718+05:30,Null,1 Month,Null,started,Null
0291ddb0-bb74-43b7-a865-1bfd415de93d,"teacher,administrator",TEACHER-PRECLASS2,Nagaland,Zunheboto,Pughoboto,Government Primary School Mishilimi Phuye,13040601201,State (Nagaland),DIKSHA Custodian Org,Literacy and Numeracy Fest 3.0,PGM_Literacy_and_Numeracy_Fest_3_678005,682414b03e09080008de38ed, PTM - Building Support for This Academic Year'," Foster strong collaboration between parents, teachers, and school leaders to create a supportive learning environment by keeping parents informed about academic plans, student expectations, and available resources, while encouraging their active involvement in school activities and decision-making processes.'",2025-05-14T03:57:36.687+05:30,Null,1 Month,Null,started,Null
